subject,t,depth,hrf
sub-001,22.575,1,-0.09247304299814678
sub-001,22.68,1,-0.09273044247939251
sub-001,22.785,1,-0.09288187955376456
sub-001,22.89,1,-0.0929315588685183
sub-001,22.994999999999997,1,-0.09288362970507512
sub-001,23.099999999999998,1,-0.09274218571993682
sub-001,23.205,1,-0.09251126444312449
sub-001,23.31,1,-0.09219484655964735
sub-001,23.415,1,-0.09179685499959357
sub-001,23.52,1,-0.0913211538622927
sub-001,23.625,1,-0.09077154719962639
sub-001,23.73,1,-0.09015177768302998
sub-001,23.835,1,-0.08946552517800367
sub-001,23.939999999999998,1,-0.08871640524911015
sub-001,24.044999999999998,1,-0.08790796761745585
sub-001,24.15,1,-0.08704369459157628
sub-001,24.255,1,-0.08612699949149598
sub-001,24.36,1,-0.08516122508449675
sub-001,24.465,1,-0.08414964204986779
sub-001,24.57,1,-0.08309544748858697
sub-001,24.675,1,-0.08200176349256205
sub-001,24.779999999999998,1,-0.08087163578671516
sub-001,24.884999999999998,1,-0.07970803245585059
sub-001,24.99,1,-0.0785138427669263
sub-001,25.095,1,-0.07729187609603366
sub-001,25.2,1,-0.07604486096811591
sub-001,25.305,1,-0.07477544421621657
sub-001,25.41,1,-0.07348619026583765
sub-001,25.515,1,-0.07217958054884689
sub-001,25.619999999999997,1,-0.07085801305025927
sub-001,25.724999999999998,1,-0.06952380199018189
sub-001,25.83,1,-0.06817917764221039
sub-001,25.935,1,-0.0668262862886451
sub-001,26.04,1,-0.06546719031202486
sub-001,26.145,1,-0.06410386842166838
sub-001,26.25,1,-0.06273821601317531
sub-001,26.355,1,-0.061372045658157515
sub-001,26.459999999999997,1,-0.06000708772085588
sub-001,26.564999999999998,1,-0.058644991097743855
sub-001,26.669999999999998,1,-0.05728732407572011
sub-001,26.775,1,-0.05593557530406624
sub-001,26.88,1,-0.054591154874955174
sub-001,26.985,1,-0.05325539550698381
sub-001,27.09,1,-0.05192955382592657
sub-001,27.195,1,-0.05061481173668774
sub-001,27.3,1,-0.04931227788025957
sub-001,27.404999999999998,1,-0.04802298916936771
sub-001,27.509999999999998,1,-0.046747912396400075
sub-001,27.615,1,-0.04548794590716899
sub-001,27.72,1,-0.04424392133406037
sub-001,27.825,1,-0.04301660538213638
sub-001,27.93,1,-0.04180670166183328
sub-001,28.035,1,-0.04061485256197591
sub-001,28.14,1,-0.039441641156946705
sub-001,28.244999999999997,1,-0.03828759314199211
sub-001,28.349999999999998,1,-0.03715317879080125
sub-001,28.455,1,-0.03603881492968139
sub-001,28.56,1,-0.034944866922838956
sub-001,28.665,1,-0.03387165066349835
sub-001,28.77,1,-0.032819434565800436
sub-001,28.875,1,-0.03178844155266386
sub-001,28.98,1,-0.030778851035026887
sub-001,29.084999999999997,1,-0.02979080087813955
sub-001,29.189999999999998,1,-0.0288243893508203
sub-001,29.294999999999998,1,-0.02787967705385082
sub-001,29.4,1,-0.02695668882393431
sub-001,29.505,1,-0.02605541560990031
sub-001,29.61,1,-0.02517581631808781
sub-001,29.715,1,-0.02431781962410176
sub-001,29.82,1,-0.023481325748365763
sub-001,0.0,2,6.086708406019913e-12
sub-001,0.105,2,7.265391429050396e-12
sub-001,0.21,2,8.567140210527828e-12
sub-001,0.315,2,9.991142647929722e-12
sub-001,0.42,2,1.1535529616402744e-11
sub-001,0.525,2,1.3198509334190935e-11
sub-001,0.63,2,1.498214428389108e-11
sub-001,0.735,2,1.6897990813303295e-11
sub-001,0.84,2,1.898212303209698e-11
sub-001,0.945,2,2.1303170048680178e-11
sub-001,1.05,2,2.3982670095326586e-11
sub-001,1.155,2,2.7247348016745978e-11
sub-001,1.26,2,3.1717901505182844e-11
sub-001,1.365,2,3.9129651855507636e-11
sub-001,1.47,2,5.348512369288165e-11
sub-001,1.575,2,8.292716588612525e-11
sub-001,1.68,2,1.4104503798790663e-10
sub-001,1.785,2,2.4907167606922727e-10
sub-001,1.89,2,4.409355504825048e-10
sub-001,1.9949999999999999,2,7.721012268118532e-10
sub-001,2.1,2,1.3352650002303e-09
sub-001,2.205,2,2.271085180348338e-09
sub-001,2.31,2,3.7857619838905345e-09
sub-001,2.415,2,6.191459125649661e-09
sub-001,2.52,2,9.97372285546469e-09
sub-001,2.625,2,1.5912706976731136e-08
sub-001,2.73,2,2.526411288486459e-08
sub-001,2.835,2,4.0055718117147927e-08
sub-001,2.94,2,6.328042182342423e-08
sub-001,3.045,2,9.917607144788997e-08
sub-001,3.15,2,1.5385994280660616e-07
sub-001,3.255,2,2.3630836885460062e-07
sub-001,3.36,2,3.5998596211935917e-07
sub-001,3.465,2,5.440045687243137e-07
sub-001,3.57,2,8.175099969384995e-07
sub-001,3.675,2,1.23097050673959e-06
sub-001,3.78,2,1.8699596187790991e-06
sub-001,3.885,2,2.8736409083949215e-06
sub-001,3.9899999999999998,2,4.456400633484737e-06
sub-001,4.095,2,6.938603952827824e-06
sub-001,4.2,2,1.0763763339703647e-05
